pokedex number,branch code,name,generation,type1,type2,number of types,sprites,basic_color,sprite dominant color
168,168_0,ariados,2,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/ariados.png,"[204, 204, 0]",[129 127 156]
169,169_0,crobat,2,poison,flying,2,https://img.pokemondb.net/sprites/home/normal/crobat.png,"[97, 64, 81]",[186 136 200]
170,170_0,chinchou,2,water,electric,2,https://img.pokemondb.net/sprites/home/normal/chinchou.png,"[4, 124, 201]",[123 172 209]
171,171_0,lanturn,2,water,electric,2,https://img.pokemondb.net/sprites/home/normal/lanturn.png,"[4, 124, 201]",[180 200 213]
172,172_0,pichu,2,electric,,1,https://img.pokemondb.net/sprites/home/normal/pichu.png,"[255, 255, 0]",[214 195  67]
173,173_0,cleffa,2,fairy,,1,https://img.pokemondb.net/sprites/home/normal/cleffa.png,"[255, 182, 193]",[217 196 192]
174,174_0,igglybuff,2,normal,fairy,2,https://img.pokemondb.net/sprites/home/normal/igglybuff.png,"[211, 211, 211]",[203 179 184]
175,175_0,togepi,2,fairy,,1,https://img.pokemondb.net/sprites/home/normal/togepi.png,"[255, 182, 193]",[213 212 208]
176,176_0,togetic,2,fairy,flying,2,https://img.pokemondb.net/sprites/home/normal/togetic.png,"[255, 182, 193]",[201 197 194]
177,177_0,natu,2,psychic,flying,2,https://img.pokemondb.net/sprites/home/normal/natu.png,"[255, 105, 180]",[192 126 137]
178,178_0,xatu,2,psychic,flying,2,https://img.pokemondb.net/sprites/home/normal/xatu.png,"[255, 105, 180]",[92 96 97]
179,179_0,mareep,2,electric,,1,https://img.pokemondb.net/sprites/home/normal/mareep.png,"[255, 255, 0]",[222 208 137]
180,180_0,flaaffy,2,electric,,1,https://img.pokemondb.net/sprites/home/normal/flaaffy.png,"[255, 255, 0]",[199 206 209]
181,181_0,ampharos,2,electric,,1,https://img.pokemondb.net/sprites/home/normal/ampharos.png,"[255, 255, 0]",[212 189  95]
182,182_0,bellossom,2,grass,,1,https://img.pokemondb.net/sprites/home/normal/bellossom.png,"[0, 100, 0]",[200 112 104]
183,183_0,marill,2,water,fairy,2,https://img.pokemondb.net/sprites/home/normal/marill.png,"[4, 124, 201]",[ 57 160 202]
184,184_0,azumarill,2,water,fairy,2,https://img.pokemondb.net/sprites/home/normal/azumarill.png,"[4, 124, 201]",[ 64 165 207]
185,185_0,sudowoodo,2,rock,,1,https://img.pokemondb.net/sprites/home/normal/sudowoodo.png,"[128, 109, 0]",[160 125  93]
186,186_0,politoed,2,water,,1,https://img.pokemondb.net/sprites/home/normal/politoed.png,"[4, 124, 201]",[114 186  39]
187,187_0,hoppip,2,grass,flying,2,https://img.pokemondb.net/sprites/home/normal/hoppip.png,"[0, 100, 0]",[212 137 169]
188,188_0,skiploom,2,grass,flying,2,https://img.pokemondb.net/sprites/home/normal/skiploom.png,"[0, 100, 0]",[118 204  90]
189,189_0,jumpluff,2,grass,flying,2,https://img.pokemondb.net/sprites/home/normal/jumpluff.png,"[0, 100, 0]",[216 209 165]
190,190_0,aipom,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/aipom.png,"[211, 211, 211]",[200 163 214]
191,191_0,sunkern,2,grass,,1,https://img.pokemondb.net/sprites/home/normal/sunkern.png,"[0, 100, 0]",[203 197 115]
192,192_0,sunflora,2,grass,,1,https://img.pokemondb.net/sprites/home/normal/sunflora.png,"[0, 100, 0]",[157 202 138]
193,193_0,yanma,2,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/yanma.png,"[204, 204, 0]",[129 151 165]
194,194_0,wooper-paldean,9,poison,ground,2,https://img.pokemondb.net/sprites/home/normal/wooper-paldean.png,"[97, 64, 81]",[160 140 136]
194,194_1,wooper,2,water,ground,2,https://img.pokemondb.net/sprites/home/normal/wooper.png,"[4, 124, 201]",[192 190 210]
195,195_0,quagsire,2,water,ground,2,https://img.pokemondb.net/sprites/home/normal/quagsire.png,"[4, 124, 201]",[129 198 219]
196,196_0,espeon,2,psychic,,1,https://img.pokemondb.net/sprites/home/normal/espeon.png,"[255, 105, 180]",[207 183 196]
197,197_0,umbreon,2,dark,,1,https://img.pokemondb.net/sprites/home/normal/umbreon.png,"[31, 16, 8]",[122 133 133]
198,198_0,murkrow,2,dark,flying,2,https://img.pokemondb.net/sprites/home/normal/murkrow.png,"[31, 16, 8]",[101 124 150]
199,199_0,slowking,2,water,psychic,2,https://img.pokemondb.net/sprites/home/normal/slowking.png,"[4, 124, 201]",[208 155 166]
199,199_1,slowking-galarian,8,poison,psychic,2,https://img.pokemondb.net/sprites/home/normal/slowking-galarian.png,"[97, 64, 81]",[156 141 172]
200,200_0,misdreavus,2,ghost,,1,https://img.pokemondb.net/sprites/home/normal/misdreavus.png,"[25, 25, 112]",[ 61 120 148]
201,201_0,unown,2,psychic,,1,https://img.pokemondb.net/sprites/home/normal/unown.png,"[255, 105, 180]",[90 90 91]
202,202_0,wobbuffet,2,psychic,,1,https://img.pokemondb.net/sprites/home/normal/wobbuffet.png,"[255, 105, 180]",[ 76 184 201]
203,203_0,girafarig,2,normal,psychic,2,https://img.pokemondb.net/sprites/home/normal/girafarig.png,"[211, 211, 211]",[134 120 112]
204,204_0,pineco,2,bug,,1,https://img.pokemondb.net/sprites/home/normal/pineco.png,"[204, 204, 0]",[ 72 122 128]
205,205_0,forretress,2,bug,steel,2,https://img.pokemondb.net/sprites/home/normal/forretress.png,"[204, 204, 0]",[193 179 195]
206,206_0,dunsparce,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/dunsparce.png,"[211, 211, 211]",[214 202  94]
207,207_0,gligar,2,ground,flying,2,https://img.pokemondb.net/sprites/home/normal/gligar.png,"[204, 164, 0]",[216 130 203]
208,208_0,steelix,2,steel,ground,2,https://img.pokemondb.net/sprites/home/normal/steelix.png,"[170, 170, 170]",[162 176 195]
209,209_0,snubbull,2,fairy,,1,https://img.pokemondb.net/sprites/home/normal/snubbull.png,"[255, 182, 193]",[213 192 197]
210,210_0,granbull,2,fairy,,1,https://img.pokemondb.net/sprites/home/normal/granbull.png,"[255, 182, 193]",[187 159 189]
211,211_0,qwilfish,2,water,poison,2,https://img.pokemondb.net/sprites/home/normal/qwilfish.png,"[4, 124, 201]",[194 216 146]
211,211_1,qwilfish-hisuian,8,dark,poison,2,https://img.pokemondb.net/sprites/home/normal/qwilfish-hisuian.png,"[31, 16, 8]",[212 213 196]
212,212_0,scizor,2,bug,steel,2,https://img.pokemondb.net/sprites/home/normal/scizor.png,"[204, 204, 0]",[188  47  54]
213,213_0,shuckle,2,bug,rock,2,https://img.pokemondb.net/sprites/home/normal/shuckle.png,"[204, 204, 0]",[205 193 165]
214,214_0,heracross,2,bug,fighting,2,https://img.pokemondb.net/sprites/home/normal/heracross.png,"[204, 204, 0]",[ 92 131 166]
215,215_0,sneasel,2,dark,ice,2,https://img.pokemondb.net/sprites/home/normal/sneasel.png,"[31, 16, 8]",[ 82 116 138]
215,215_1,sneasel-hisuian,8,fighting,poison,2,https://img.pokemondb.net/sprites/home/normal/sneasel-hisuian.png,"[136, 84, 11]",[193 191 202]
216,216_0,teddiursa,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/teddiursa.png,"[211, 211, 211]",[208 159 106]
217,217_0,ursaring,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/ursaring.png,"[211, 211, 211]",[168 125 105]
218,218_0,slugma,2,fire,,1,https://img.pokemondb.net/sprites/home/normal/slugma.png,"[255, 0, 0]",[214 114  65]
219,219_0,magcargo,2,fire,rock,2,https://img.pokemondb.net/sprites/home/normal/magcargo.png,"[255, 0, 0]",[116 155 182]
220,220_0,swinub,2,ice,ground,2,https://img.pokemondb.net/sprites/home/normal/swinub.png,"[135, 206, 235]",[181 142 117]
221,221_0,piloswine,2,ice,ground,2,https://img.pokemondb.net/sprites/home/normal/piloswine.png,"[135, 206, 235]",[165 119  85]
222,222_0,corsola,2,water,rock,2,https://img.pokemondb.net/sprites/home/normal/corsola.png,"[4, 124, 201]",[219 172 180]
222,222_1,corsola-galarian,8,ghost,,1,https://img.pokemondb.net/sprites/home/normal/corsola-galarian.png,"[25, 25, 112]",[222 222 222]
223,223_0,remoraid,2,water,,1,https://img.pokemondb.net/sprites/home/normal/remoraid.png,"[4, 124, 201]",[173 192 183]
224,224_0,octillery,2,water,,1,https://img.pokemondb.net/sprites/home/normal/octillery.png,"[4, 124, 201]",[215  38  46]
225,225_0,delibird,2,ice,flying,2,https://img.pokemondb.net/sprites/home/normal/delibird.png,"[135, 206, 235]",[208 209 214]
226,226_0,mantine,2,water,flying,2,https://img.pokemondb.net/sprites/home/normal/mantine.png,"[4, 124, 201]",[195 195 202]
227,227_0,skarmory,2,steel,flying,2,https://img.pokemondb.net/sprites/home/normal/skarmory.png,"[170, 170, 170]",[197 203 217]
228,228_0,houndour,2,dark,fire,2,https://img.pokemondb.net/sprites/home/normal/houndour.png,"[31, 16, 8]",[140 135 129]
229,229_0,houndoom,2,dark,fire,2,https://img.pokemondb.net/sprites/home/normal/houndoom.png,"[31, 16, 8]",[202 199 196]
230,230_0,kingdra,2,water,dragon,2,https://img.pokemondb.net/sprites/home/normal/kingdra.png,"[4, 124, 201]",[212 214 212]
231,231_0,phanpy,2,ground,,1,https://img.pokemondb.net/sprites/home/normal/phanpy.png,"[204, 164, 0]",[126 197 213]
232,232_0,donphan,2,ground,,1,https://img.pokemondb.net/sprites/home/normal/donphan.png,"[204, 164, 0]",[180 192 202]
233,233_0,porygon2,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/porygon2.png,"[211, 211, 211]",[ 79 172 203]
234,234_0,stantler,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/stantler.png,"[211, 211, 211]",[189 154 123]
235,235_0,smeargle,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/smeargle.png,"[211, 211, 211]",[178 174 167]
236,236_0,tyrogue,2,fighting,,1,https://img.pokemondb.net/sprites/home/normal/tyrogue.png,"[136, 84, 11]",[211 195 215]
237,237_0,hitmontop,2,fighting,,1,https://img.pokemondb.net/sprites/home/normal/hitmontop.png,"[136, 84, 11]",[186 150 125]
238,238_0,smoochum,2,ice,psychic,2,https://img.pokemondb.net/sprites/home/normal/smoochum.png,"[135, 206, 235]",[218 205 116]
239,239_0,elekid,2,electric,,1,https://img.pokemondb.net/sprites/home/normal/elekid.png,"[255, 255, 0]",[208 212 174]
240,240_0,magby,2,fire,,1,https://img.pokemondb.net/sprites/home/normal/magby.png,"[255, 0, 0]",[214 134 134]
241,241_0,miltank,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/miltank.png,"[211, 211, 211]",[200 156 177]
242,242_0,blissey,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/blissey.png,"[211, 211, 211]",[197 196 197]
243,243_0,raikou,2,electric,,1,https://img.pokemondb.net/sprites/home/normal/raikou.png,"[255, 255, 0]",[198 201 192]
244,244_0,entei,2,fire,,1,https://img.pokemondb.net/sprites/home/normal/entei.png,"[255, 0, 0]",[165 174 171]
245,245_0,suicune,2,water,,1,https://img.pokemondb.net/sprites/home/normal/suicune.png,"[4, 124, 201]",[198 201 210]
246,246_0,larvitar,2,rock,ground,2,https://img.pokemondb.net/sprites/home/normal/larvitar.png,"[128, 109, 0]",[171 188 140]
247,247_0,pupitar,2,rock,ground,2,https://img.pokemondb.net/sprites/home/normal/pupitar.png,"[128, 109, 0]",[128 145 180]
248,248_0,tyranitar,2,rock,dark,2,https://img.pokemondb.net/sprites/home/normal/tyranitar.png,"[128, 109, 0]",[176 193 144]
249,249_0,lugia,2,psychic,flying,2,https://img.pokemondb.net/sprites/home/normal/lugia.png,"[255, 105, 180]",[181 184 198]
250,250_0,ho-oh,2,fire,flying,2,https://img.pokemondb.net/sprites/home/normal/ho-oh.png,"[255, 0, 0]",[210 192 111]
251,251_0,celebi,2,psychic,grass,2,https://img.pokemondb.net/sprites/home/normal/celebi.png,"[255, 105, 180]",[187 205 187]
252,252_0,treecko,3,grass,,1,https://img.pokemondb.net/sprites/home/normal/treecko.png,"[0, 100, 0]",[149 191  91]
253,253_0,grovyle,3,grass,,1,https://img.pokemondb.net/sprites/home/normal/grovyle.png,"[0, 100, 0]",[108 164  84]
254,254_0,sceptile,3,grass,,1,https://img.pokemondb.net/sprites/home/normal/sceptile.png,"[0, 100, 0]",[148 183 129]
255,255_0,torchic,3,fire,,1,https://img.pokemondb.net/sprites/home/normal/torchic.png,"[255, 0, 0]",[218 184  93]
256,256_0,combusken,3,fire,fighting,2,https://img.pokemondb.net/sprites/home/normal/combusken.png,"[255, 0, 0]",[192 187 184]
257,257_0,blaziken,3,fire,fighting,2,https://img.pokemondb.net/sprites/home/normal/blaziken.png,"[255, 0, 0]",[197 187 155]
258,258_0,mudkip,3,water,,1,https://img.pokemondb.net/sprites/home/normal/mudkip.png,"[4, 124, 201]",[152 185 203]
259,259_0,marshtomp,3,water,ground,2,https://img.pokemondb.net/sprites/home/normal/marshtomp.png,"[4, 124, 201]",[133 178 182]
260,260_0,swampert,3,water,ground,2,https://img.pokemondb.net/sprites/home/normal/swampert.png,"[4, 124, 201]",[191 202 206]
261,261_0,poochyena,3,dark,,1,https://img.pokemondb.net/sprites/home/normal/poochyena.png,"[31, 16, 8]",[167 172 175]
262,262_0,mightyena,3,dark,,1,https://img.pokemondb.net/sprites/home/normal/mightyena.png,"[31, 16, 8]",[32 36 39]
263,263_0,zigzagoon,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/zigzagoon.png,"[211, 211, 211]",[102  82  62]
263,263_1,zigzagoon-galarian,8,dark,normal,2,https://img.pokemondb.net/sprites/home/normal/zigzagoon-galarian.png,"[31, 16, 8]",[222 222 222]
264,264_0,linoone,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/linoone.png,"[211, 211, 211]",[195 190 185]
264,264_1,linoone-galarian,8,dark,normal,2,https://img.pokemondb.net/sprites/home/normal/linoone-galarian.png,"[31, 16, 8]",[221 222 222]
265,265_0,wurmple,3,bug,,1,https://img.pokemondb.net/sprites/home/normal/wurmple.png,"[204, 204, 0]",[184 161 152]
266,266_0,silcoon,3,bug,,1,https://img.pokemondb.net/sprites/home/normal/silcoon.png,"[204, 204, 0]",[203 207 208]
267,267_0,beautifly,3,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/beautifly.png,"[204, 204, 0]",[108 106 105]
268,268_0,cascoon,3,bug,,1,https://img.pokemondb.net/sprites/home/normal/cascoon.png,"[204, 204, 0]",[202 180 203]
269,269_0,dustox,3,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/dustox.png,"[204, 204, 0]",[170 208 104]
270,270_0,lotad,3,water,grass,2,https://img.pokemondb.net/sprites/home/normal/lotad.png,"[4, 124, 201]",[102 191  76]
271,271_0,lombre,3,water,grass,2,https://img.pokemondb.net/sprites/home/normal/lombre.png,"[4, 124, 201]",[192 202 194]
272,272_0,ludicolo,3,water,grass,2,https://img.pokemondb.net/sprites/home/normal/ludicolo.png,"[4, 124, 201]",[195 201 131]
273,273_0,seedot,3,grass,,1,https://img.pokemondb.net/sprites/home/normal/seedot.png,"[0, 100, 0]",[162 164 163]
274,274_0,nuzleaf,3,grass,dark,2,https://img.pokemondb.net/sprites/home/normal/nuzleaf.png,"[0, 100, 0]",[189 178 164]
275,275_0,shiftry,3,grass,dark,2,https://img.pokemondb.net/sprites/home/normal/shiftry.png,"[0, 100, 0]",[211 212 210]
276,276_0,taillow,3,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/taillow.png,"[211, 211, 211]",[36 53 89]
277,277_0,swellow,3,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/swellow.png,"[211, 211, 211]",[ 26  65 117]
278,278_0,wingull,3,water,flying,2,https://img.pokemondb.net/sprites/home/normal/wingull.png,"[4, 124, 201]",[200 205 204]
279,279_0,pelipper,3,water,flying,2,https://img.pokemondb.net/sprites/home/normal/pelipper.png,"[4, 124, 201]",[205 212 211]
280,280_0,ralts,3,psychic,fairy,2,https://img.pokemondb.net/sprites/home/normal/ralts.png,"[255, 105, 180]",[198 204 210]
281,281_0,kirlia,3,psychic,fairy,2,https://img.pokemondb.net/sprites/home/normal/kirlia.png,"[255, 105, 180]",[207 215 219]
282,282_0,gardevoir,3,psychic,fairy,2,https://img.pokemondb.net/sprites/home/normal/gardevoir.png,"[255, 105, 180]",[177 199 168]
283,283_0,surskit,3,bug,water,2,https://img.pokemondb.net/sprites/home/normal/surskit.png,"[204, 204, 0]",[138 189 219]
284,284_0,masquerain,3,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/masquerain.png,"[204, 204, 0]",[215 219 222]
285,285_0,shroomish,3,grass,,1,https://img.pokemondb.net/sprites/home/normal/shroomish.png,"[0, 100, 0]",[187 177 134]
286,286_0,breloom,3,grass,fighting,2,https://img.pokemondb.net/sprites/home/normal/breloom.png,"[0, 100, 0]",[120 161  89]
287,287_0,slakoth,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/slakoth.png,"[211, 211, 211]",[197 191 187]
288,288_0,vigoroth,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/vigoroth.png,"[211, 211, 211]",[192 191 191]
289,289_0,slaking,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/slaking.png,"[211, 211, 211]",[208 196 172]
290,290_0,nincada,3,bug,ground,2,https://img.pokemondb.net/sprites/home/normal/nincada.png,"[204, 204, 0]",[221 222 221]
291,291_0,ninjask,3,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/ninjask.png,"[204, 204, 0]",[211 217 219]
292,292_0,shedinja,3,bug,ghost,2,https://img.pokemondb.net/sprites/home/normal/shedinja.png,"[204, 204, 0]",[199 179 148]
293,293_0,whismur,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/whismur.png,"[211, 211, 211]",[211 190 216]
294,294_0,loudred,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/loudred.png,"[211, 211, 211]",[162 172 202]
295,295_0,exploud,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/exploud.png,"[211, 211, 211]",[213 187 136]
296,296_0,makuhita,3,fighting,,1,https://img.pokemondb.net/sprites/home/normal/makuhita.png,"[136, 84, 11]",[218 204 154]
297,297_0,hariyama,3,fighting,,1,https://img.pokemondb.net/sprites/home/normal/hariyama.png,"[136, 84, 11]",[212 154  99]
298,298_0,azurill,3,normal,fairy,2,https://img.pokemondb.net/sprites/home/normal/azurill.png,"[211, 211, 211]",[100 178 211]
299,299_0,nosepass,3,rock,,1,https://img.pokemondb.net/sprites/home/normal/nosepass.png,"[128, 109, 0]",[106 152 186]
300,300_0,skitty,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/skitty.png,"[211, 211, 211]",[211 199 172]
301,301_0,delcatty,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/delcatty.png,"[211, 211, 211]",[165 125 188]
302,302_0,sableye,3,dark,ghost,2,https://img.pokemondb.net/sprites/home/normal/sableye.png,"[31, 16, 8]",[139 109 175]
303,303_0,mawile,3,steel,fairy,2,https://img.pokemondb.net/sprites/home/normal/mawile.png,"[170, 170, 170]",[89 89 91]
304,304_0,aron,3,steel,rock,2,https://img.pokemondb.net/sprites/home/normal/aron.png,"[170, 170, 170]",[198 200 199]
305,305_0,lairon,3,steel,rock,2,https://img.pokemondb.net/sprites/home/normal/lairon.png,"[170, 170, 170]",[107 111 115]
306,306_0,aggron,3,steel,rock,2,https://img.pokemondb.net/sprites/home/normal/aggron.png,"[170, 170, 170]",[102 106 110]
307,307_0,meditite,3,fighting,psychic,2,https://img.pokemondb.net/sprites/home/normal/meditite.png,"[136, 84, 11]",[186 191 202]
308,308_0,medicham,3,fighting,psychic,2,https://img.pokemondb.net/sprites/home/normal/medicham.png,"[136, 84, 11]",[200 198 202]
309,309_0,electrike,3,electric,,1,https://img.pokemondb.net/sprites/home/normal/electrike.png,"[255, 255, 0]",[117 206 158]
310,310_0,manectric,3,electric,,1,https://img.pokemondb.net/sprites/home/normal/manectric.png,"[255, 255, 0]",[214 199 114]
311,311_0,plusle,3,electric,,1,https://img.pokemondb.net/sprites/home/normal/plusle.png,"[255, 255, 0]",[200 144 150]
312,312_0,minun,3,electric,,1,https://img.pokemondb.net/sprites/home/normal/minun.png,"[255, 255, 0]",[207 202 191]
313,313_0,volbeat,3,bug,,1,https://img.pokemondb.net/sprites/home/normal/volbeat.png,"[204, 204, 0]",[214 145 133]
314,314_0,illumise,3,bug,,1,https://img.pokemondb.net/sprites/home/normal/illumise.png,"[204, 204, 0]",[156 158 207]
315,315_0,roselia,3,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/roselia.png,"[0, 100, 0]",[157 195 133]
316,316_0,gulpin,3,poison,,1,https://img.pokemondb.net/sprites/home/normal/gulpin.png,"[97, 64, 81]",[182 201 153]
317,317_0,swalot,3,poison,,1,https://img.pokemondb.net/sprites/home/normal/swalot.png,"[97, 64, 81]",[147 142 221]
318,318_0,carvanha,3,water,dark,2,https://img.pokemondb.net/sprites/home/normal/carvanha.png,"[4, 124, 201]",[208 182 106]
319,319_0,sharpedo,3,water,dark,2,https://img.pokemondb.net/sprites/home/normal/sharpedo.png,"[4, 124, 201]",[175 178 193]
320,320_0,wailmer,3,water,,1,https://img.pokemondb.net/sprites/home/normal/wailmer.png,"[4, 124, 201]",[ 48 102 152]
321,321_0,wailord,3,water,,1,https://img.pokemondb.net/sprites/home/normal/wailord.png,"[4, 124, 201]",[193 199 202]
322,322_0,numel,3,fire,ground,2,https://img.pokemondb.net/sprites/home/normal/numel.png,"[255, 0, 0]",[211 196 156]
323,323_0,camerupt,3,fire,ground,2,https://img.pokemondb.net/sprites/home/normal/camerupt.png,"[255, 0, 0]",[185 177 168]
324,324_0,torkoal,3,fire,,1,https://img.pokemondb.net/sprites/home/normal/torkoal.png,"[255, 0, 0]",[204 187 161]
325,325_0,spoink,3,psychic,,1,https://img.pokemondb.net/sprites/home/normal/spoink.png,"[255, 105, 180]",[172 177 181]
326,326_0,grumpig,3,psychic,,1,https://img.pokemondb.net/sprites/home/normal/grumpig.png,"[255, 105, 180]",[210 191 206]
327,327_0,spinda,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/spinda.png,"[211, 211, 211]",[221 209 192]
328,328_0,trapinch,3,ground,,1,https://img.pokemondb.net/sprites/home/normal/trapinch.png,"[204, 164, 0]",[199 101  50]
329,329_0,vibrava,3,ground,dragon,2,https://img.pokemondb.net/sprites/home/normal/vibrava.png,"[204, 164, 0]",[143 145 140]
330,330_0,flygon,3,ground,dragon,2,https://img.pokemondb.net/sprites/home/normal/flygon.png,"[204, 164, 0]",[209  90 112]
331,331_0,cacnea,3,grass,,1,https://img.pokemondb.net/sprites/home/normal/cacnea.png,"[0, 100, 0]",[162 200 109]
332,332_0,cacturne,3,grass,dark,2,https://img.pokemondb.net/sprites/home/normal/cacturne.png,"[0, 100, 0]",[189 208 166]
333,333_0,swablu,3,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/swablu.png,"[211, 211, 211]",[211 217 219]
334,334_0,altaria,3,dragon,flying,2,https://img.pokemondb.net/sprites/home/normal/altaria.png,"[167, 143, 206]",[212 216 219]
335,335_0,zangoose,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/zangoose.png,"[211, 211, 211]",[212 212 212]
336,336_0,seviper,3,poison,,1,https://img.pokemondb.net/sprites/home/normal/seviper.png,"[97, 64, 81]",[ 62  93 106]
337,337_0,lunatone,3,rock,psychic,2,https://img.pokemondb.net/sprites/home/normal/lunatone.png,"[128, 109, 0]",[207 185 147]
338,338_0,solrock,3,rock,psychic,2,https://img.pokemondb.net/sprites/home/normal/solrock.png,"[128, 109, 0]",[210 200 150]
339,339_0,barboach,3,water,ground,2,https://img.pokemondb.net/sprites/home/normal/barboach.png,"[4, 124, 201]",[163 185 196]
340,340_0,whiscash,3,water,ground,2,https://img.pokemondb.net/sprites/home/normal/whiscash.png,"[4, 124, 201]",[208 186 142]
341,341_0,corphish,3,water,,1,https://img.pokemondb.net/sprites/home/normal/corphish.png,"[4, 124, 201]",[225 123  90]
342,342_0,crawdaunt,3,water,dark,2,https://img.pokemondb.net/sprites/home/normal/crawdaunt.png,"[4, 124, 201]",[203  32  39]
343,343_0,baltoy,3,ground,psychic,2,https://img.pokemondb.net/sprites/home/normal/baltoy.png,"[204, 164, 0]",[206 193 169]
344,344_0,claydol,3,ground,psychic,2,https://img.pokemondb.net/sprites/home/normal/claydol.png,"[204, 164, 0]",[75 75 76]
345,345_0,lileep,3,rock,grass,2,https://img.pokemondb.net/sprites/home/normal/lileep.png,"[128, 109, 0]",[211 189 198]
346,346_0,cradily,3,rock,grass,2,https://img.pokemondb.net/sprites/home/normal/cradily.png,"[128, 109, 0]",[209 191 192]
347,347_0,anorith,3,rock,bug,2,https://img.pokemondb.net/sprites/home/normal/anorith.png,"[128, 109, 0]",[212 213 213]
348,348_0,armaldo,3,rock,bug,2,https://img.pokemondb.net/sprites/home/normal/armaldo.png,"[128, 109, 0]",[125 172 204]
349,349_0,feebas,3,water,,1,https://img.pokemondb.net/sprites/home/normal/feebas.png,"[4, 124, 201]",[178 194 211]
350,350_0,milotic,3,water,,1,https://img.pokemondb.net/sprites/home/normal/milotic.png,"[4, 124, 201]",[215 202 174]
351,351_0,castform,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/castform.png,"[211, 211, 211]",[207 206 215]
351,351_1,castform-sunny,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/castform-sunny.png,"[211, 211, 211]",[227 185 134]
351,351_2,castform-rainy,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/castform-rainy.png,"[211, 211, 211]",[167 175 177]
351,351_3,castform-snowy,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/castform-snowy.png,"[211, 211, 211]",[157 182 186]
352,352_0,kecleon,3,normal,,1,https://img.pokemondb.net/sprites/home/normal/kecleon.png,"[211, 211, 211]",[161 196 114]
353,353_0,shuppet,3,ghost,,1,https://img.pokemondb.net/sprites/home/normal/shuppet.png,"[25, 25, 112]",[118 147 184]
354,354_0,banette,3,ghost,,1,https://img.pokemondb.net/sprites/home/normal/banette.png,"[25, 25, 112]",[129 131 134]
355,355_0,duskull,3,ghost,,1,https://img.pokemondb.net/sprites/home/normal/duskull.png,"[25, 25, 112]",[175 174 165]
356,356_0,dusclops,3,ghost,,1,https://img.pokemondb.net/sprites/home/normal/dusclops.png,"[25, 25, 112]",[198 195 194]
357,357_0,tropius,3,grass,flying,2,https://img.pokemondb.net/sprites/home/normal/tropius.png,"[0, 100, 0]",[ 82 164  54]
358,358_0,chimecho,3,psychic,,1,https://img.pokemondb.net/sprites/home/normal/chimecho.png,"[255, 105, 180]",[196 219 225]
359,359_0,absol,3,dark,,1,https://img.pokemondb.net/sprites/home/normal/absol.png,"[31, 16, 8]",[181 190 195]
360,360_0,wynaut,3,psychic,,1,https://img.pokemondb.net/sprites/home/normal/wynaut.png,"[255, 105, 180]",[ 49 173 198]
361,361_0,snorunt,3,ice,,1,https://img.pokemondb.net/sprites/home/normal/snorunt.png,"[135, 206, 235]",[214 180 112]
362,362_0,glalie,3,ice,,1,https://img.pokemondb.net/sprites/home/normal/glalie.png,"[135, 206, 235]",[180 182 190]
363,363_0,spheal,3,ice,water,2,https://img.pokemondb.net/sprites/home/normal/spheal.png,"[135, 206, 235]",[209 203 147]
364,364_0,sealeo,3,ice,water,2,https://img.pokemondb.net/sprites/home/normal/sealeo.png,"[135, 206, 235]",[113 179 203]
365,365_0,walrein,3,ice,water,2,https://img.pokemondb.net/sprites/home/normal/walrein.png,"[135, 206, 235]",[209 211 210]
366,366_0,clamperl,3,water,,1,https://img.pokemondb.net/sprites/home/normal/clamperl.png,"[4, 124, 201]",[198 202 212]
